GRIDCODE:COUNT:surfperm
1:6455:0
2:230062:0
3:296:0
4:70019:0
5:47105:0
6:280076:0
7:240065:0
8:286712:0
9:44040:0
10:10003:0
11:325462:0
12:3792:0
13:779041:0
14:480130:0
15:43061:0
16:21846:0
17:54223:0
18:390105:0
19:258229:0
20:10003:0
21:37164:0
22:35982:0
23:437634:0
24:123922:0
25:1100298:0
26:322208:0
27:10003:0
28:75:0
29:7530:0
30:19657:0
31:340092:0
32:12417:0
33:3654120:0
34:246330:0
35:240065:0
36:10003:0
37:10003:0
38:93425:0
39:6526:0
40:350095:0
41:202138:0
42:13877:0
43:65300:0
44:290028:0
45:253568:0
46:186668:0
47:244669:0
48:42674:0
49:217397:0
50:16505:0
51:90024:0
52:87299:0
53:38066:0
54:46124:0
55:224410:0
56:297651:0
57:72837:0
58:211599:0
59:990268:0
60:3412902:0
61:64418:0
62:10003:0
63:3299:0
64:77100:0
65:270073:0
66:10003:0
67:9369:0
68:10003:0
69:139840:0
70:10003:0
71:123188:0
72:450122:0
73:497638:0
74:760206:0
75:37177:0
76:30008:0
77:145395:0
78:169:0
79:79294:0
80:1574:0
81:39:0
82:355180:0
83:25:0
84:19954:0
85:280076:0
86:9982:0
87:138700:0
88:1932299:0
89:1400379:0
90:8223868:0
91:995847:0
92:322106:0
93:101365:0
94:269667:0
95:1334:0
96:2930966:0
97:16:0
98:27387:0
99:16586:0
100:47570:0
101:57998:0
102:30008:0
103:380103:0
104:310084:0
105:61302:0
106:310084:0
107:406812:0
108:206972:0
109:19348:0
110:50014:0
111:58341:0
112:310084:0
113:540248:0
114:50014:0
115:50674:0
116:57113:0
117:349325:0
118:103802:0
119:166713:0
120:780211:0
121:2350201:0
122:595857:0
123:370100:0
124:20005:0
125:10003:0
126:10003:0
127:512588:0
128:250848:0
129:343325:0
130:10003:0
131:10003:0
132:245883:0
133:607572:0
134:163377:0
135:39093:0
136:595473:0
137:10003:0
138:400108:0
139:10003:0
140:12496:0
141:2671003:0
142:430116:0
143:184615:0
144:9143:0
145:10003:0
146:8693:0
147:49438:0
148:820222:0
149:542911:0
150:330089:0
151:10003:0
152:380103:0
153:953236:0
154:26914:0
155:240065:0
156:80022:0
157:1262588:0
158:310084:0
159:98366:0
160:403342:0
161:20005:0
162:833669:0
163:41418:0
164:3506803:0
165:25831:0
166:370100:0
167:10003:0
168:30008:0
169:230062:0
170:130035:0
171:5918:0
172:20325:0
173:10003:0
174:10003:0
175:79956:0
176:19954:0
177:235342:0
178:350095:0
179:10003:0
180:10003:0
181:270073:0
182:2620709:0
183:323339:0
184:162583:0
185:10003:0
186:10003:0
187:10003:0
188:20005:0
189:10003:0
190:110989:0
191:1154:0
192:10003:0
193:320086:0
194:260070:0
195:767183:0
196:3199:0
197:150041:0
198:300081:0
199:7655408:0
200:173380:0
201:2337295:0
202:650176:0
203:380103:0
204:182109:0
205:117448:0
206:1326457:0
207:4309928:0
208:850230:0
209:68420:0
210:19951:0
211:5310:0
212:20005:0
213:14655:0
214:260070:0
215:189871438:0
216:1940525:0
217:310084:0
218:440119:0
219:173369:0
220:240065:0
221:2266:0
222:55131:0
223:37071:0
224:2704109:0
225:265276:0
226:290078:0
227:978:0
228:232650:0
229:100027:0
230:250068:0
231:620168:0
232:124382:0
233:11254:0
234:828778:0
235:159666:0
236:629057:0
237:10003:0
238:9344:0
239:10003:0
240:20005:0
241:340092:0
242:250068:0
243:150041:0
244:18456:0
245:5422:0
246:10003:0
247:174442:0
248:213896:0
249:11873:0
250:9932:0
251:33921:0
252:1020276:0
253:62569:0
254:1875030:0
255:38871:0
256:534223:0
257:21205:0
258:235985:0
259:669682:0
260:637974:0
261:258871:0
262:100680:0
263:330089:0
264:31886:0
265:78426:0
266:3879:0
267:93578:0
268:421209:0
269:161713:0
270:36912:0
271:46993:0
272:21403:0
273:160296:0
274:34934:0
275:235876:0
276:6855:0
277:20005:0
278:68698:0
279:260070:0
280:750203:0
281:9406:0
282:33413:0
283:279472338:0
284:460124:0
285:41447731:0
286:13790:0
287:330089:0
288:154332:0
289:81055:0
290:231:0
291:47702:0
292:7195:0
293:10003:0
294:10003:0
295:651:0
296:6018:0
297:304217:0
298:870:0
299:31234:0
300:60016:0
301:19:0
302:7501919:0
303:349576:0
304:21992:0
305:70:0
306:121166:0
307:10003:0
308:152329:0
309:127269:0
310:240065:0
311:6274:0
312:132185:0
313:23045:0
314:5234:0
315:2917:0
316:339387:0
317:420114:0
318:10003:0
319:132681:0
320:600162:0
321:211604:0
322:196105:0
323:610165:0
324:383081:0
325:333175:0
326:293270:0
327:235835:0
328:69485:0
329:10003:0
330:70445:0
331:300081:0
332:370100:0
333:1963:0
334:60592:0
335:265013:0
336:250068:0
337:10003:0
338:1270:0
339:10003:0
340:50014:0
341:61805:0
342:3777:0
343:10003:0
344:130767:0
345:10003:0
346:86324:0
347:1751:0
348:10003:0
349:3463:0
350:73587:0
351:60016:0
352:260070:0
353:20005:0
354:10003:0
355:210942:0
356:416151:0
357:163729:0
358:610165:0
359:9681:0
360:10588:0
361:112272:0
362:427874:0
363:9196:0
364:807:0
365:0:0
366:40011:0
367:12369:0
368:32266:0
369:517492:0
370:499804:0
371:58202:0
372:25:0
373:121516:0
374:10003:0
375:10003:0
376:10003:0
377:2606:0
378:310084:0
379:658698:0
380:6742:0
381:37647:0
382:10523:0
383:234508:0
384:30008:0
385:1249205:0
386:19893:0
387:139206:0
388:480130:0
389:1071:0
390:1043730:0
391:19160:0
392:403375:0
393:279837:0
394:438430:0
395:123182:0
396:69783:0
397:813:0
398:2046:0
399:128228:0
400:6076:0
401:20005:0
402:590160:0
403:10003:0
404:9568:0
405:70019:0
406:224036:0
407:30008:0
408:57463:0
409:49334:0
410:14315:0
411:108928:0
412:101:0
413:547625:0
414:109530:0
415:44419:0
416:6998:0
417:895636:0
418:40203:0
419:16828:0
420:96259:0
421:75827077:0
422:3078:0
423:10003:0
424:191907:0
425:101809:0
426:20005:0
427:16416:0
428:280076:0
429:10003:0
430:10003:0
431:270073:0
432:465928:0
433:372692:0
434:134:0
435:495619:0
436:153738:0
437:87255:0
438:29917:0
439:7732:0
440:38080:0
441:60952:0
442:100972:0
443:66549:0
444:273585:0
445:270408:0
446:684951:0
447:126843:0
448:7890:0
449:747224:0
450:1143:0
451:1024:0
452:70019:0
453:295666:0
454:57372:0
455:211630:0
456:310084:0
457:260070:0
458:12221921:0
459:256547:0
460:149023:0
461:9606:0
462:20005:0
463:908:0
464:52030:0
465:310084:0
466:30008:0
467:234093:0
468:5496:0
469:10003:0
470:4453:0
471:98828:0
472:4507:0
473:10003:0
474:7945:0
475:12060:0
476:105385:0
477:7215:0
478:69170791:0
479:8744:0
480:71885:0
481:609774:0
482:170046:0
483:120032:0
484:340092:0
485:250068:0
486:154604:0
487:83189:0
488:9292:0
489:908398:0
490:2849:0
491:234820:0
492:50014:0
493:25175:0
494:108016:0
495:4365660:0
496:1820492:0
497:6750:0
498:139824:0
499:313453:0
500:3614:0
501:260070:0
502:20005:0
503:3891:0
504:10003:0
505:223:0
506:329283:0
507:16766:0
508:302184:0
509:207149:0
510:1864:0
511:27262:0
512:31076:0
513:8809:0
514:30018:0
515:46432:0
516:4:0
517:20005:0
518:323538:0
519:173957:0
520:144124:0
521:200054:0
522:49270:0
523:370100:0
524:119:0
525:24592:0
526:495:0
527:72577:0
528:206479:0
529:18579:0
530:11645:0
531:47623:0
532:428939:0
533:45846:0
534:352291:0
535:240065:0
536:337015:0
537:323050:0
538:2507411:0
539:5294:0
540:4029:0
541:30008:0
542:300081:0
543:10003:0
544:230439:0
545:665:0
546:326464:0
547:60016:0
548:312766:0
549:201583:0
550:183299:0
551:385623:0
552:40011:0
553:10003:0
554:427769:0
555:72116:0
556:239454:0
557:30821:0
558:630977:0
559:611:0
560:539651:0
561:259257:0
562:580157:0
563:760206:0
564:34491:0
565:25658:0
566:49679:0
567:1136790:0
568:30527:0
569:80022:0
570:492985:0
571:80686:0
572:780211:0
573:156154:0
574:506487:0
575:268268:0
576:198249:0
577:1190322:0
578:320087:0
579:50871:0
580:10003:0
581:108948:0
582:570154:0
583:30008:0
584:732826:0
585:188107:0
586:272463:0
587:72173:0
588:270073:0
589:270073:0
590:9720464:0
591:320087:0
592:1100298:0
593:310084:0
594:570154:0
595:289767:0
596:250068:0
597:1143856:0
598:880138:0
599:47929:0
600:814527:0
601:734366:0
602:910246:0
603:500135:0
604:3267274:0
605:1020276:0
606:480130:0
607:350095:0
608:10003:0
609:790214:0
610:9566754:0
611:930252:0
612:269600:0
613:270073:0
614:10003:0
615:5221748:0
616:10003:0
617:790214:0
618:4708:0
619:136:0
620:4131:0
621:407915:0
622:30008:0
623:20005:0
624:540146:0
625:131243:0
626:47105:0
627:744417:0
628:388463:0
629:62936:0
630:374579:0
631:108821:0
632:290078:0
633:470127:0
