CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
01195	18875	0,67023	0,030208	0,097113	0,11147	0,090976
59324	22465	0,66918	0,078121	0,025373	0,10572	0,12161
89338	69282	0,66756	0,0087469	0,022546	0,025129	0,27602
37070	55612	0,66604	0,013109	0,045404	0,027116	0,24833
27330	16717	0,66153	0,018245	0,035233	0,087334	0,19766
41351	39355	0,65697	0,073282	0,056588	0,078059	0,1351
62032	107200	0,6563	0,097444	0,016632	0,16856	0,061063
79109	27402	0,65067	0,050762	0,10207	0,091963	0,10454
79367	36181	0,65006	0,031425	0,12703	0,096929	0,094555
78053	32239	0,64227	0,0023884	0,0080958	0,027637	0,3196
80036	89914	0,63616	0,076595	0,013135	0,13046	0,14365
21440	122990	0,63542	0,0052523	0,011675	0,055198	0,29246
62023	26039	0,63487	0,099503	0,01467	0,17723	0,073724
85369	43819	0,63413	0,038066	0,04295	0,26365	0,021203
79370	11076	0,62879	0,034849	0,068614	0,22778	0,03997
41434	4182,3	0,62765	0,0059864	0,051398	0,16426	0,15071
16113	100860	0,62571	0,012988	0,060993	0,042354	0,25796
27080	19211	0,62514	0,016709	0,0071313	0,047108	0,30391
10014	16764	0,62369	0,020878	0,027558	0,082377	0,24549
72094	18015	0,62102	0,06106	0,05501	0,24518	0,017729
35098	1398,9	0,6185	0,062905	0,14225	0,037886	0,13846
27351	3403,5	0,61803	0,040393	0,035998	0,096076	0,20951
41350	22803	0,61773	0,023016	0,038372	0,067841	0,25304
82391	9793	0,61759	0,0083734	0,063209	0,052895	0,25793
59027	11768	0,61488	0,10367	0,029656	0,16876	0,083033
36435	136230	0,6042	0,017617	0,099821	0,067847	0,21052
62039	45936	0,60406	0,074124	0,022923	0,18103	0,11786
91339	27639	0,6038	0,0004797	0,0019082	0,001194	0,39262
17377	175120	0,60072	0,012466	0,036856	0,079884	0,27007
51335	86286	0,59703	0,009735	0,011705	0,04849	0,33304
01201	27793	0,59668	0,0069441	0,045587	0,049868	0,30092
78330	4756,4	0,59533	0	0,0045599	0,05172	0,34839
86368	34156	0,59231	0,021724	0,13596	0,044209	0,20579
81152	13664	0,59148	0,0131	0,12083	0,066087	0,2085
